number	description
101	uniform distribution over 99 highest degree nodes and 74 highest capacity nodes
102	uniform distribution over 100 highest degree nodes and 73 highest capacity nodes
103	uniform distribution over 101 highest degree nodes and 72 highest capacity nodes
104	uniform distribution over 102 highest degree nodes and 71 highest capacity nodes
105	uniform distribution over 103 highest degree nodes and 70 highest capacity nodes
106	uniform distribution over 104 highest degree nodes and 69 highest capacity nodes
107	uniform distribution over 105 highest degree nodes and 68 highest capacity nodes
108	uniform distribution over 106 highest degree nodes and 67 highest capacity nodes
109	uniform distribution over 107 highest degree nodes and 66 highest capacity nodes
110	uniform distribution over 108 highest degree nodes and 65 highest capacity nodes
111	uniform distribution over 109 highest degree nodes and 64 highest capacity nodes
112	uniform distribution over 110 highest degree nodes and 63 highest capacity nodes
113	uniform distribution over 111 highest degree nodes and 62 highest capacity nodes
114	uniform distribution over 112 highest degree nodes and 61 highest capacity nodes
115	uniform distribution over 113 highest degree nodes and 60 highest capacity nodes
116	uniform distribution over 114 highest degree nodes and 59 highest capacity nodes
117	uniform distribution over 115 highest degree nodes and 58 highest capacity nodes
118	uniform distribution over 116 highest degree nodes and 57 highest capacity nodes
119	uniform distribution over 117 highest degree nodes and 56 highest capacity nodes
120	uniform distribution over 118 highest degree nodes and 55 highest capacity nodes
121	uniform distribution over 119 highest degree nodes and 54 highest capacity nodes
122	uniform distribution over 120 highest degree nodes and 53 highest capacity nodes
123	uniform distribution over 121 highest degree nodes and 52 highest capacity nodes
124	uniform distribution over 122 highest degree nodes and 51 highest capacity nodes
125	uniform distribution over 123 highest degree nodes and 50 highest capacity nodes
126	uniform distribution over 124 highest degree nodes and 49 highest capacity nodes
127	uniform distribution over 125 highest degree nodes and 48 highest capacity nodes
128	uniform distribution over 126 highest degree nodes and 47 highest capacity nodes
129	uniform distribution over 127 highest degree nodes and 46 highest capacity nodes
130	uniform distribution over 128 highest degree nodes and 45 highest capacity nodes
131	uniform distribution over 129 highest degree nodes and 44 highest capacity nodes
132	uniform distribution over 130 highest degree nodes and 43 highest capacity nodes
133	uniform distribution over 131 highest degree nodes and 42 highest capacity nodes
134	uniform distribution over 132 highest degree nodes and 41 highest capacity nodes
135	uniform distribution over 133 highest degree nodes and 40 highest capacity nodes
136	uniform distribution over 134 highest degree nodes and 39 highest capacity nodes
137	uniform distribution over 135 highest degree nodes and 38 highest capacity nodes
138	uniform distribution over 136 highest degree nodes and 37 highest capacity nodes
139	uniform distribution over 137 highest degree nodes and 36 highest capacity nodes
140	uniform distribution over 138 highest degree nodes and 35 highest capacity nodes
141	uniform distribution over 139 highest degree nodes and 34 highest capacity nodes
142	uniform distribution over 140 highest degree nodes and 33 highest capacity nodes
143	uniform distribution over 141 highest degree nodes and 32 highest capacity nodes
144	uniform distribution over 142 highest degree nodes and 31 highest capacity nodes
145	uniform distribution over 143 highest degree nodes and 30 highest capacity nodes
146	uniform distribution over 144 highest degree nodes and 29 highest capacity nodes
147	uniform distribution over 145 highest degree nodes and 28 highest capacity nodes
148	uniform distribution over 146 highest degree nodes and 27 highest capacity nodes
149	uniform distribution over 147 highest degree nodes and 26 highest capacity nodes
150	uniform distribution over 148 highest degree nodes and 25 highest capacity nodes
151	uniform distribution over 149 highest degree nodes and 24 highest capacity nodes
152	uniform distribution over 150 highest degree nodes and 23 highest capacity nodes
153	uniform distribution over 151 highest degree nodes and 22 highest capacity nodes
154	uniform distribution over 152 highest degree nodes and 21 highest capacity nodes
155	uniform distribution over 153 highest degree nodes and 20 highest capacity nodes
156	uniform distribution over 154 highest degree nodes and 19 highest capacity nodes
157	uniform distribution over 155 highest degree nodes and 18 highest capacity nodes
158	uniform distribution over 156 highest degree nodes and 17 highest capacity nodes
159	uniform distribution over 157 highest degree nodes and 16 highest capacity nodes
160	uniform distribution over 158 highest degree nodes and 15 highest capacity nodes
161	uniform distribution over 159 highest degree nodes and 14 highest capacity nodes
162	uniform distribution over 160 highest degree nodes and 13 highest capacity nodes
163	uniform distribution over 161 highest degree nodes and 12 highest capacity nodes
164	uniform distribution over 162 highest degree nodes and 11 highest capacity nodes
165	uniform distribution over 163 highest degree nodes and 10 highest capacity nodes
166	uniform distribution over 164 highest degree nodes and 9 highest capacity nodes
167	uniform distribution over 165 highest degree nodes and 8 highest capacity nodes
168	uniform distribution over 166 highest degree nodes and 7 highest capacity nodes
169	uniform distribution over 167 highest degree nodes and 6 highest capacity nodes
170	uniform distribution over 168 highest degree nodes and 5 highest capacity nodes
171	uniform distribution over 169 highest degree nodes and 4 highest capacity nodes
172	uniform distribution over 170 highest degree nodes and 3 highest capacity nodes
173	uniform distribution over 171 highest degree nodes and 2 highest capacity nodes
174	uniform distribution over 172 highest degree nodes and 1 highest capacity nodes
175	uniform distribution over 86 highest degree nodes
176	uniform distribution over 86 highest capacity nodes
177	uniform distribution over 1 highest degree nodes and 85 highest capacity nodes
178	uniform distribution over 2 highest degree nodes and 84 highest capacity nodes
179	uniform distribution over 3 highest degree nodes and 83 highest capacity nodes
180	uniform distribution over 4 highest degree nodes and 82 highest capacity nodes
181	uniform distribution over 5 highest degree nodes and 81 highest capacity nodes
182	uniform distribution over 6 highest degree nodes and 80 highest capacity nodes
183	uniform distribution over 7 highest degree nodes and 79 highest capacity nodes
184	uniform distribution over 8 highest degree nodes and 78 highest capacity nodes
185	uniform distribution over 9 highest degree nodes and 77 highest capacity nodes
186	uniform distribution over 10 highest degree nodes and 76 highest capacity nodes
187	uniform distribution over 11 highest degree nodes and 75 highest capacity nodes
188	uniform distribution over 12 highest degree nodes and 74 highest capacity nodes
189	uniform distribution over 13 highest degree nodes and 73 highest capacity nodes
190	uniform distribution over 14 highest degree nodes and 72 highest capacity nodes
191	uniform distribution over 15 highest degree nodes and 71 highest capacity nodes
192	uniform distribution over 16 highest degree nodes and 70 highest capacity nodes
193	uniform distribution over 17 highest degree nodes and 69 highest capacity nodes
194	uniform distribution over 18 highest degree nodes and 68 highest capacity nodes
195	uniform distribution over 19 highest degree nodes and 67 highest capacity nodes
196	uniform distribution over 20 highest degree nodes and 66 highest capacity nodes
197	uniform distribution over 21 highest degree nodes and 65 highest capacity nodes
198	uniform distribution over 22 highest degree nodes and 64 highest capacity nodes
199	uniform distribution over 23 highest degree nodes and 63 highest capacity nodes
200	uniform distribution over 24 highest degree nodes and 62 highest capacity nodes
201	uniform distribution over 25 highest degree nodes and 61 highest capacity nodes
202	uniform distribution over 26 highest degree nodes and 60 highest capacity nodes
203	uniform distribution over 27 highest degree nodes and 59 highest capacity nodes
204	uniform distribution over 28 highest degree nodes and 58 highest capacity nodes
205	uniform distribution over 29 highest degree nodes and 57 highest capacity nodes
206	uniform distribution over 30 highest degree nodes and 56 highest capacity nodes
207	uniform distribution over 31 highest degree nodes and 55 highest capacity nodes
208	uniform distribution over 32 highest degree nodes and 54 highest capacity nodes
209	uniform distribution over 33 highest degree nodes and 53 highest capacity nodes
210	uniform distribution over 34 highest degree nodes and 52 highest capacity nodes
211	uniform distribution over 35 highest degree nodes and 51 highest capacity nodes
212	uniform distribution over 36 highest degree nodes and 50 highest capacity nodes
213	uniform distribution over 37 highest degree nodes and 49 highest capacity nodes
214	uniform distribution over 38 highest degree nodes and 48 highest capacity nodes
215	uniform distribution over 39 highest degree nodes and 47 highest capacity nodes
216	uniform distribution over 40 highest degree nodes and 46 highest capacity nodes
217	uniform distribution over 41 highest degree nodes and 45 highest capacity nodes
218	uniform distribution over 42 highest degree nodes and 44 highest capacity nodes
219	uniform distribution over 43 highest degree nodes and 43 highest capacity nodes
220	uniform distribution over 44 highest degree nodes and 42 highest capacity nodes
221	uniform distribution over 45 highest degree nodes and 41 highest capacity nodes
222	uniform distribution over 46 highest degree nodes and 40 highest capacity nodes
223	uniform distribution over 47 highest degree nodes and 39 highest capacity nodes
224	uniform distribution over 48 highest degree nodes and 38 highest capacity nodes
225	uniform distribution over 49 highest degree nodes and 37 highest capacity nodes
226	uniform distribution over 50 highest degree nodes and 36 highest capacity nodes
227	uniform distribution over 51 highest degree nodes and 35 highest capacity nodes
228	uniform distribution over 52 highest degree nodes and 34 highest capacity nodes
229	uniform distribution over 53 highest degree nodes and 33 highest capacity nodes
230	uniform distribution over 54 highest degree nodes and 32 highest capacity nodes
231	uniform distribution over 55 highest degree nodes and 31 highest capacity nodes
232	uniform distribution over 56 highest degree nodes and 30 highest capacity nodes
233	uniform distribution over 57 highest degree nodes and 29 highest capacity nodes
234	uniform distribution over 58 highest degree nodes and 28 highest capacity nodes
235	uniform distribution over 59 highest degree nodes and 27 highest capacity nodes
236	uniform distribution over 60 highest degree nodes and 26 highest capacity nodes
237	uniform distribution over 61 highest degree nodes and 25 highest capacity nodes
238	uniform distribution over 62 highest degree nodes and 24 highest capacity nodes
239	uniform distribution over 63 highest degree nodes and 23 highest capacity nodes
240	uniform distribution over 64 highest degree nodes and 22 highest capacity nodes
241	uniform distribution over 65 highest degree nodes and 21 highest capacity nodes
242	uniform distribution over 66 highest degree nodes and 20 highest capacity nodes
243	uniform distribution over 67 highest degree nodes and 19 highest capacity nodes
244	uniform distribution over 68 highest degree nodes and 18 highest capacity nodes
245	uniform distribution over 69 highest degree nodes and 17 highest capacity nodes
246	uniform distribution over 70 highest degree nodes and 16 highest capacity nodes
247	uniform distribution over 71 highest degree nodes and 15 highest capacity nodes
248	uniform distribution over 72 highest degree nodes and 14 highest capacity nodes
249	uniform distribution over 73 highest degree nodes and 13 highest capacity nodes
250	uniform distribution over 74 highest degree nodes and 12 highest capacity nodes
251	uniform distribution over 75 highest degree nodes and 11 highest capacity nodes
252	uniform distribution over 76 highest degree nodes and 10 highest capacity nodes
253	uniform distribution over 77 highest degree nodes and 9 highest capacity nodes
254	uniform distribution over 78 highest degree nodes and 8 highest capacity nodes
255	uniform distribution over 79 highest degree nodes and 7 highest capacity nodes
256	uniform distribution over 80 highest degree nodes and 6 highest capacity nodes
257	uniform distribution over 81 highest degree nodes and 5 highest capacity nodes
258	uniform distribution over 82 highest degree nodes and 4 highest capacity nodes
259	uniform distribution over 83 highest degree nodes and 3 highest capacity nodes
260	uniform distribution over 84 highest degree nodes and 2 highest capacity nodes
261	uniform distribution over 85 highest degree nodes and 1 highest capacity nodes
262	uniform distribution over 43 highest degree nodes
263	uniform distribution over 43 highest capacity nodes
264	uniform distribution over 1 highest degree nodes and 42 highest capacity nodes
265	uniform distribution over 2 highest degree nodes and 41 highest capacity nodes
266	uniform distribution over 3 highest degree nodes and 40 highest capacity nodes
267	uniform distribution over 4 highest degree nodes and 39 highest capacity nodes
268	uniform distribution over 5 highest degree nodes and 38 highest capacity nodes
269	uniform distribution over 6 highest degree nodes and 37 highest capacity nodes
270	uniform distribution over 7 highest degree nodes and 36 highest capacity nodes
271	uniform distribution over 8 highest degree nodes and 35 highest capacity nodes
272	uniform distribution over 9 highest degree nodes and 34 highest capacity nodes
273	uniform distribution over 10 highest degree nodes and 33 highest capacity nodes
274	uniform distribution over 11 highest degree nodes and 32 highest capacity nodes
275	uniform distribution over 12 highest degree nodes and 31 highest capacity nodes
276	uniform distribution over 13 highest degree nodes and 30 highest capacity nodes
277	uniform distribution over 14 highest degree nodes and 29 highest capacity nodes
278	uniform distribution over 15 highest degree nodes and 28 highest capacity nodes
279	uniform distribution over 16 highest degree nodes and 27 highest capacity nodes
280	uniform distribution over 17 highest degree nodes and 26 highest capacity nodes
281	uniform distribution over 18 highest degree nodes and 25 highest capacity nodes
282	uniform distribution over 19 highest degree nodes and 24 highest capacity nodes
283	uniform distribution over 20 highest degree nodes and 23 highest capacity nodes
284	uniform distribution over 21 highest degree nodes and 22 highest capacity nodes
285	uniform distribution over 22 highest degree nodes and 21 highest capacity nodes
286	uniform distribution over 23 highest degree nodes and 20 highest capacity nodes
287	uniform distribution over 24 highest degree nodes and 19 highest capacity nodes
288	uniform distribution over 25 highest degree nodes and 18 highest capacity nodes
289	uniform distribution over 26 highest degree nodes and 17 highest capacity nodes
290	uniform distribution over 27 highest degree nodes and 16 highest capacity nodes
291	uniform distribution over 28 highest degree nodes and 15 highest capacity nodes
292	uniform distribution over 29 highest degree nodes and 14 highest capacity nodes
293	uniform distribution over 30 highest degree nodes and 13 highest capacity nodes
294	uniform distribution over 31 highest degree nodes and 12 highest capacity nodes
295	uniform distribution over 32 highest degree nodes and 11 highest capacity nodes
296	uniform distribution over 33 highest degree nodes and 10 highest capacity nodes
297	uniform distribution over 34 highest degree nodes and 9 highest capacity nodes
298	uniform distribution over 35 highest degree nodes and 8 highest capacity nodes
299	uniform distribution over 36 highest degree nodes and 7 highest capacity nodes
300	uniform distribution over 37 highest degree nodes and 6 highest capacity nodes
301	uniform distribution over 38 highest degree nodes and 5 highest capacity nodes
302	uniform distribution over 39 highest degree nodes and 4 highest capacity nodes
303	uniform distribution over 40 highest degree nodes and 3 highest capacity nodes
304	uniform distribution over 41 highest degree nodes and 2 highest capacity nodes
305	uniform distribution over 42 highest degree nodes and 1 highest capacity nodes
